epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1928.43,0.53021,0.3724,0.87953,0.9653,0.96596,0.98238,0.91684,0.38948,0.29023,0.81657,0.000724518,0.000724518,0.000724518
43,1973.97,0.51616,0.36788,0.8775,0.96025,0.9715,0.98111,0.9106,0.39958,0.29047,0.81765,0.000720019,0.000720019,0.000720019
44,2019.15,0.51297,0.36319,0.87361,0.95846,0.96798,0.98206,0.93048,0.35258,0.2801,0.81292,0.000715519,0.000715519,0.000715519
45,2064.4,0.5118,0.35948,0.87636,0.96667,0.97009,0.98495,0.93357,0.34594,0.26854,0.80792,0.00071102,0.00071102,0.00071102
46,2109.96,0.51148,0.36322,0.87455,0.96691,0.95644,0.97997,0.91902,0.37997,0.28085,0.82754,0.00070652,0.00070652,0.00070652
47,2157.35,0.50201,0.35619,0.8738,0.96941,0.95677,0.98039,0.92532,0.35315,0.27586,0.80899,0.000702021,0.000702021,0.000702021
48,2202.93,0.4941,0.35167,0.8707,0.96738,0.95103,0.97811,0.92391,0.35072,0.27427,0.8105,0.000697521,0.000697521,0.000697521
49,2248.42,0.49473,0.34844,0.8677,0.96246,0.97356,0.98218,0.92667,0.35377,0.27029,0.81083,0.000693022,0.000693022,0.000693022
50,2293.8,0.49975,0.34779,0.86857,0.96092,0.97589,0.98348,0.93093,0.35738,0.26712,0.80656,0.000688522,0.000688522,0.000688522
51,2338.61,0.48547,0.34499,0.86564,0.97127,0.97377,0.98716,0.9277,0.37556,0.27477,0.81609,0.000684022,0.000684022,0.000684022
52,2383.66,0.49533,0.34438,0.86782,0.97417,0.97825,0.9872,0.93881,0.33555,0.25781,0.80168,0.000679523,0.000679523,0.000679523
53,2429.06,0.47842,0.33525,0.86328,0.97992,0.97444,0.98853,0.93776,0.34608,0.25554,0.79842,0.000675023,0.000675023,0.000675023
54,2474.17,0.483,0.33463,0.86224,0.97074,0.97785,0.98436,0.93524,0.3394,0.25877,0.80652,0.000670524,0.000670524,0.000670524
55,2519.04,0.47289,0.33286,0.86417,0.98211,0.97823,0.99036,0.9465,0.32361,0.24296,0.79822,0.000666024,0.000666024,0.000666024
56,2566.4,0.47492,0.33293,0.86059,0.97908,0.97606,0.98865,0.9426,0.33133,0.25005,0.79777,0.000661525,0.000661525,0.000661525
57,2611.49,0.46425,0.32436,0.85863,0.98142,0.9748,0.98808,0.94354,0.33426,0.24682,0.80479,0.000657025,0.000657025,0.000657025
58,2657.05,0.45967,0.32457,0.85815,0.97995,0.97386,0.98862,0.94095,0.3344,0.24415,0.79766,0.000652526,0.000652526,0.000652526
59,2702.34,0.46229,0.3223,0.85589,0.97741,0.97035,0.98882,0.94133,0.34108,0.25201,0.80247,0.000648026,0.000648026,0.000648026
60,2747.49,0.46156,0.32194,0.85658,0.98067,0.97806,0.99035,0.9487,0.32734,0.24718,0.7989,0.000643527,0.000643527,0.000643527
61,2792.74,0.4669,0.32686,0.85926,0.98483,0.97919,0.99142,0.95483,0.3114,0.23497,0.79166,0.000639027,0.000639027,0.000639027
62,2837.83,0.45058,0.31735,0.85635,0.98189,0.97624,0.99066,0.95121,0.31115,0.23935,0.79357,0.000634527,0.000634527,0.000634527
