epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,3138,0.51476,0.32884,0.85777,0.99687,0.99741,0.995,0.95263,0.33614,0.24766,0.78622,0.008581,0.008581,0.008581
45,3212.42,0.50965,0.32551,0.85621,0.9999,1,0.995,0.94735,0.34645,0.24724,0.79065,0.008548,0.008548,0.008548
46,3283.79,0.51203,0.32866,0.85448,0.99987,0.99992,0.995,0.94585,0.35009,0.24241,0.78867,0.008515,0.008515,0.008515
47,3356.02,0.50437,0.32029,0.8553,0.99968,0.99834,0.995,0.94978,0.34787,0.24639,0.78851,0.008482,0.008482,0.008482
48,3424.84,0.49761,0.3192,0.85339,0.99984,0.99997,0.995,0.94824,0.34754,0.24253,0.78642,0.008449,0.008449,0.008449
49,3493.14,0.4915,0.32002,0.85027,0.99988,1,0.995,0.95523,0.32374,0.23633,0.78294,0.008416,0.008416,0.008416
50,3564.93,0.48827,0.31697,0.84941,0.99989,1,0.995,0.95501,0.31703,0.23264,0.78067,0.008383,0.008383,0.008383
51,3636,0.4857,0.3157,0.85003,0.99975,1,0.995,0.96107,0.31404,0.23009,0.78516,0.00835,0.00835,0.00835
52,3706.98,0.4808,0.30897,0.84727,0.99986,1,0.995,0.95662,0.31907,0.22782,0.78259,0.008317,0.008317,0.008317
53,3779.43,0.48005,0.3077,0.84943,0.99987,1,0.995,0.95471,0.33249,0.23063,0.78172,0.008284,0.008284,0.008284
54,3851.02,0.47401,0.30923,0.84804,0.99987,1,0.995,0.95716,0.31972,0.22605,0.78113,0.008251,0.008251,0.008251
55,3926.39,0.47331,0.3016,0.84735,0.99982,1,0.995,0.96588,0.2962,0.2187,0.77809,0.008218,0.008218,0.008218
56,4002.44,0.47226,0.30582,0.84302,0.99987,1,0.995,0.96474,0.29858,0.22031,0.77702,0.008185,0.008185,0.008185
57,4079.73,0.46493,0.3017,0.84501,0.99986,1,0.995,0.96453,0.29863,0.21749,0.77936,0.008152,0.008152,0.008152
58,4156.36,0.4654,0.2957,0.84108,0.99985,1,0.995,0.95802,0.32121,0.22392,0.78063,0.008119,0.008119,0.008119
59,4226.69,0.46156,0.29559,0.84268,0.99988,0.99999,0.995,0.96543,0.29639,0.21424,0.77295,0.008086,0.008086,0.008086
60,4294.17,0.45103,0.29788,0.8409,0.99988,0.99989,0.995,0.96139,0.31728,0.21666,0.78128,0.008053,0.008053,0.008053
61,4361.8,0.45576,0.29421,0.8374,0.9999,1,0.995,0.96384,0.30822,0.21776,0.7772,0.00802,0.00802,0.00802
62,4429.3,0.44766,0.28732,0.83984,0.99988,1,0.995,0.96404,0.29893,0.21225,0.77584,0.007987,0.007987,0.007987
63,4497.8,0.45238,0.28714,0.83948,0.99977,0.99998,0.995,0.96478,0.29391,0.21016,0.77379,0.007954,0.007954,0.007954
64,4565.84,0.44167,0.29339,0.83738,0.99987,1,0.995,0.96953,0.28492,0.20861,0.77434,0.007921,0.007921,0.007921
65,4633.86,0.44599,0.2853,0.83848,0.99988,1,0.995,0.96903,0.28296,0.20552,0.77315,0.007888,0.007888,0.007888
66,4691.06,0.43971,0.28542,0.83833,0.9999,1,0.995,0.96708,0.29656,0.21082,0.77542,0.007855,0.007855,0.007855
67,4748.14,0.43866,0.28102,0.83602,0.99989,1,0.995,0.975,0.26487,0.19949,0.77074,0.007822,0.007822,0.007822
68,4849.42,0.43021,0.27704,0.83433,0.9999,1,0.995,0.97226,0.27211,0.19968,0.77178,0.007789,0.007789,0.007789
69,4898.82,0.42963,0.28179,0.83647,0.99989,1,0.995,0.97109,0.27773,0.20223,0.77225,0.007756,0.007756,0.007756
70,4966.44,0.42991,0.27723,0.83436,0.99989,1,0.995,0.97261,0.27224,0.19812,0.76973,0.007723,0.007723,0.007723
71,5035.79,0.42829,0.2798,0.83348,0.99988,1,0.995,0.96786,0.28482,0.20177,0.77118,0.00769,0.00769,0.00769
72,5108.35,0.42662,0.27669,0.83404,0.99988,1,0.995,0.97208,0.27298,0.19797,0.77141,0.007657,0.007657,0.007657
73,5179.7,0.42487,0.27236,0.83415,0.9999,1,0.995,0.97297,0.26711,0.1946,0.76853,0.007624,0.007624,0.007624
74,5236.8,0.42109,0.27443,0.83215,0.99989,1,0.995,0.9711,0.27916,0.20015,0.77103,0.007591,0.007591,0.007591
75,5284.8,0.41766,0.27231,0.83119,0.99974,1,0.995,0.97447,0.26545,0.19238,0.76805,0.007558,0.007558,0.007558
76,5333.44,0.41102,0.26866,0.8313,0.9999,1,0.995,0.9746,0.2676,0.19451,0.76883,0.007525,0.007525,0.007525
77,5389.86,0.40727,0.2667,0.82749,0.99988,1,0.995,0.97536,0.2662,0.19276,0.76771,0.007492,0.007492,0.007492
78,5438.4,0.40954,0.26693,0.83043,0.99982,1,0.995,0.97601,0.25684,0.18944,0.76627,0.007459,0.007459,0.007459
79,5486.83,0.40784,0.26672,0.83058,0.99988,1,0.995,0.97119,0.27356,0.19549,0.76819,0.007426,0.007426,0.007426
80,5552.14,0.40643,0.26008,0.82843,0.99989,1,0.995,0.97771,0.25453,0.18536,0.76436,0.007393,0.007393,0.007393
81,5604.49,0.40687,0.26433,0.82812,0.99989,1,0.995,0.97739,0.25475,0.18566,0.76505,0.00736,0.00736,0.00736
82,5670.77,0.4026,0.26235,0.82851,0.9999,1,0.995,0.97749,0.2498,0.18509,0.76467,0.007327,0.007327,0.007327
83,5739.76,0.39812,0.26104,0.82882,0.9999,1,0.995,0.9765,0.25807,0.18547,0.76489,0.007294,0.007294,0.007294
84,5809.45,0.40179,0.2592,0.8251,0.99987,1,0.995,0.97708,0.25358,0.18314,0.76417,0.007261,0.007261,0.007261
85,5878.77,0.39826,0.26029,0.82748,0.9999,1,0.995,0.9783,0.25276,0.18312,0.76397,0.007228,0.007228,0.007228
86,5947.2,0.39816,0.25791,0.82664,0.99975,1,0.995,0.97871,0.24933,0.18192,0.76358,0.007195,0.007195,0.007195
87,6015.06,0.39217,0.25679,0.82633,0.99991,1,0.995,0.97976,0.24584,0.18099,0.76369,0.007162,0.007162,0.007162
88,6081.37,0.38814,0.25832,0.82534,0.99988,1,0.995,0.97783,0.24534,0.18103,0.76346,0.007129,0.007129,0.007129
89,6149.72,0.39226,0.25223,0.82256,0.99991,1,0.995,0.98071,0.24575,0.17951,0.76208,0.007096,0.007096,0.007096
90,6216.68,0.39167,0.25505,0.82408,0.99989,1,0.995,0.97921,0.24808,0.17975,0.76272,0.007063,0.007063,0.007063
91,6283.1,0.39228,0.25231,0.82652,0.99989,1,0.995,0.98006,0.24255,0.17718,0.76304,0.00703,0.00703,0.00703
92,6352.08,0.38798,0.25198,0.82482,0.9999,1,0.995,0.98234,0.23743,0.17555,0.76139,0.006997,0.006997,0.006997
93,6417.96,0.38585,0.2516,0.82255,0.9999,1,0.995,0.98004,0.246,0.17797,0.76094,0.006964,0.006964,0.006964
94,6483.46,0.38471,0.24913,0.82406,0.9999,1,0.995,0.98059,0.23878,0.17579,0.76161,0.006931,0.006931,0.006931
95,6548.19,0.37902,0.24809,0.82312,0.99989,0.99999,0.995,0.98235,0.24153,0.17618,0.76128,0.006898,0.006898,0.006898
96,6617.16,0.38085,0.25331,0.82341,0.99991,1,0.995,0.98265,0.23683,0.1734,0.76048,0.006865,0.006865,0.006865
97,6683.88,0.37801,0.24711,0.82306,0.9999,1,0.995,0.98282,0.2347,0.17277,0.7599,0.006832,0.006832,0.006832
98,6748.12,0.37749,0.24624,0.82097,0.99991,1,0.995,0.9821,0.23613,0.17304,0.76042,0.006799,0.006799,0.006799
99,6797.77,0.37548,0.24444,0.82237,0.99991,1,0.995,0.98444,0.2365,0.1692,0.75984,0.006766,0.006766,0.006766
100,6846.9,0.37489,0.24164,0.82028,0.9999,1,0.995,0.98291,0.23262,0.17123,0.75984,0.006733,0.006733,0.006733
101,6907.28,0.37292,0.24117,0.82219,0.99991,1,0.995,0.9829,0.23218,0.16778,0.75908,0.0067,0.0067,0.0067
102,6978,0.37415,0.244,0.82039,0.99991,1,0.995,0.9836,0.22832,0.16818,0.75999,0.006667,0.006667,0.006667
103,7046.99,0.37204,0.23993,0.81893,0.99991,1,0.995,0.98481,0.22572,0.1683,0.75844,0.006634,0.006634,0.006634
104,7107.11,0.36943,0.24179,0.81913,0.99991,1,0.995,0.98302,0.22567,0.16674,0.75872,0.006601,0.006601,0.006601
105,7175.15,0.36666,0.2432,0.82053,0.9999,1,0.995,0.98554,0.22293,0.16535,0.75744,0.006568,0.006568,0.006568
106,7249.62,0.36857,0.23996,0.81795,0.9999,1,0.995,0.9861,0.22422,0.16265,0.75694,0.006535,0.006535,0.006535
107,7319.82,0.36491,0.23484,0.81867,0.99992,1,0.995,0.98493,0.22687,0.16588,0.75844,0.006502,0.006502,0.006502
108,7389.82,0.36465,0.23687,0.81896,0.99989,1,0.995,0.98572,0.22193,0.16403,0.75698,0.006469,0.006469,0.006469
109,7460.96,0.36071,0.23627,0.81845,0.9999,1,0.995,0.9853,0.2212,0.16398,0.7574,0.006436,0.006436,0.006436
110,7531.28,0.36186,0.23739,0.81871,0.9999,1,0.995,0.98539,0.22071,0.16576,0.75728,0.006403,0.006403,0.006403
111,7603.07,0.36005,0.23808,0.81785,0.99993,1,0.995,0.98628,0.21857,0.16412,0.75672,0.00637,0.00637,0.00637
112,7672.07,0.35744,0.23467,0.81793,0.99992,1,0.995,0.98783,0.21432,0.15937,0.75647,0.006337,0.006337,0.006337
113,7743.87,0.3552,0.23344,0.81664,0.99991,1,0.995,0.98727,0.21297,0.16077,0.75632,0.006304,0.006304,0.006304
114,7816.09,0.35724,0.23422,0.81564,0.99988,0.99996,0.995,0.98519,0.22013,0.16266,0.75628,0.006271,0.006271,0.006271
115,7887.78,0.35134,0.23448,0.81669,0.99991,1,0.995,0.98617,0.21425,0.15862,0.75643,0.006238,0.006238,0.006238
116,7964.35,0.35285,0.23168,0.81669,0.99989,1,0.995,0.98658,0.21857,0.16041,0.75715,0.006205,0.006205,0.006205
117,8039,0.35182,0.22889,0.81744,0.99992,1,0.995,0.98649,0.21159,0.15814,0.75509,0.006172,0.006172,0.006172
118,8109.08,0.35217,0.2302,0.81641,0.99992,1,0.995,0.98588,0.2145,0.15842,0.7548,0.006139,0.006139,0.006139
119,8179.86,0.3504,0.22862,0.81716,0.99991,1,0.995,0.98714,0.20723,0.15485,0.75451,0.006106,0.006106,0.006106
120,8258.1,0.34385,0.23068,0.81406,0.99991,1,0.995,0.98677,0.21169,0.15755,0.75565,0.006073,0.006073,0.006073
121,8329.98,0.34532,0.22668,0.81455,0.99992,1,0.995,0.98796,0.20629,0.15563,0.75488,0.00604,0.00604,0.00604
122,8398.46,0.34288,0.2274,0.81324,0.99991,1,0.995,0.98777,0.20653,0.15399,0.75403,0.006007,0.006007,0.006007
123,8472.29,0.34735,0.22563,0.81281,0.99992,1,0.995,0.98651,0.20874,0.15525,0.75437,0.005974,0.005974,0.005974
124,8538.91,0.34169,0.22882,0.81496,0.99992,1,0.995,0.98685,0.20921,0.15562,0.75478,0.005941,0.005941,0.005941
125,8606.24,0.33937,0.22534,0.81591,0.99991,1,0.995,0.9882,0.20444,0.15196,0.75417,0.005908,0.005908,0.005908
